Ano,Categoria,Produto,Quantidade(L.)
1980,VINHO DE MESA,Rosado,23.284.978
1980,VINHO FINO DE MESA (VINIFERA),-,31.740.663
1980,VINHO FINO DE MESA (VINIFERA),Tinto,9.296.741
1980,VINHO FINO DE MESA (VINIFERA),Branco,19.326.572
1980,VINHO FINO DE MESA (VINIFERA),Rosado,3.117.350
1980,SUCO,-,-
1980,SUCO,Suco de uva integral,-
1980,SUCO,Suco de uva concentrado,-
1980,SUCO,Suco de uva adoçado,-
1980,SUCO,Suco de uva orgânico,-
1980,SUCO,Suco de uva reconstituído,-
1980,DERIVADOS,-,37.553.414
1980,DERIVADOS,Espumante,-
1980,DERIVADOS,Espumante moscatel,-
1980,DERIVADOS,Base espumante,-
1980,DERIVADOS,Base espumante moscatel,-
1980,DERIVADOS,Base Champenoise champanha,-
1980,DERIVADOS,Base Charmat champanha,-
1980,DERIVADOS,Bebida de uva,-
1980,DERIVADOS,Polpa de uva,-
1980,DERIVADOS,Mosto simples,37.553.414
1980,DERIVADOS,Mosto concentrado,-
1980,DERIVADOS,Mosto de uva com bagaço,-
1980,DERIVADOS,Mosto dessulfitado,-
1980,DERIVADOS,Mistelas,-
1980,DERIVADOS,Néctar de uva,-
1980,DERIVADOS,Licorosos,-
1980,DERIVADOS,Compostos,-
1980,DERIVADOS,Jeropiga,-
1980,DERIVADOS,Filtrado,-
1980,DERIVADOS,Frisante,-
1980,DERIVADOS,Vinho leve,-
1980,DERIVADOS,Vinho licoroso,-
1980,DERIVADOS,Brandy,-
1980,DERIVADOS,Destilado,-
1980,DERIVADOS,Bagaceira,-
1980,DERIVADOS,Licor de bagaceira,-
1980,DERIVADOS,Vinagre,-
1980,DERIVADOS,Borra líquida,-
1980,DERIVADOS,Borra seca,-
1980,DERIVADOS,Vinho Composto,-
1980,DERIVADOS,Pisco,-
1980,DERIVADOS,Vinho orgânico,-
1980,DERIVADOS,Espumante orgânico,-
1980,DERIVADOS,Destilado alcoólico simples de bagaceira,-
1980,DERIVADOS,Vinho acidificado,-
1980,DERIVADOS,Mosto parcialmente fermentado,-
1980,DERIVADOS,Outros derivados,-
1981,VINHO DE MESA,-,186.129.728
1981,VINHO DE MESA,Tinto,134.156.175
1981,VINHO DE MESA,Branco,12.547.739
1981,VINHO DE MESA,Rosado,39.425.814
1981,VINHO FINO DE MESA (VINIFERA),-,49.348.047
1981,VINHO FINO DE MESA (VINIFERA),Tinto,16.036.963
1981,VINHO FINO DE MESA (VINIFERA),Branco,27.528.276
1981,VINHO FINO DE MESA (VINIFERA),Rosado,5.782.808
1981,SUCO,-,-
1981,SUCO,Suco de uva integral,-
1981,SUCO,Suco de uva concentrado,-
1981,SUCO,Suco de uva adoçado,-
1981,SUCO,Suco de uva orgânico,-
1981,SUCO,Suco de uva reconstituído,-
1981,DERIVADOS,-,52.530.037
1981,DERIVADOS,Espumante,-
1981,DERIVADOS,Espumante moscatel,-
1981,DERIVADOS,Base espumante,-
1981,DERIVADOS,Base espumante moscatel,-
1981,DERIVADOS,Base Champenoise champanha,-
1981,DERIVADOS,Base Charmat champanha,-
1981,DERIVADOS,Bebida de uva,-
1981,DERIVADOS,Polpa de uva,-
1981,DERIVADOS,Mosto simples,48.762.185
1981,DERIVADOS,Mosto concentrado,-
1981,DERIVADOS,Mosto de uva com bagaço,-
1981,DERIVADOS,Mosto dessulfitado,-
1981,DERIVADOS,Mistelas,-
1981,DERIVADOS,Néctar de uva,-
1981,DERIVADOS,Licorosos,-
1981,DERIVADOS,Compostos,-
1981,DERIVADOS,Jeropiga,-
1981,DERIVADOS,Filtrado,-
1981,DERIVADOS,Frisante,-
1981,DERIVADOS,Vinho leve,-
